chain,video_id,title,channel,comment,likes
trader_joes,m3K_0O9Og3U,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL/MAY 2026! (4/28)✨️PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,Loved the Dubai chocolate!,0
trader_joes,m3K_0O9Og3U,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL/MAY 2026! (4/28)✨️PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,Your  breakfast charcuterie layout looked absolutely beautiful and delicious!,2
trader_joes,m3K_0O9Og3U,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL/MAY 2026! (4/28)✨️PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,Thanks for trying the food!,5
trader_joes,m3K_0O9Og3U,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL/MAY 2026! (4/28)✨️PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,Giving this video a Hype! Loved the charcuterie board at the end ❤.,4
trader_joes,m3K_0O9Og3U,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL/MAY 2026! (4/28)✨️PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,"About the steak tips, just saute with onions and mushrooms , if you like that 😊. Serve with mashed potatoes,  rice or noodles 🍜",3
trader_joes,m3K_0O9Og3U,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL/MAY 2026! (4/28)✨️PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,"Gina, again another amazing video. I always love your charcuterie boards.   You should make separate videos of all your taste testing and recipes.  Thanks for your honest reviews and delicious recipes.",1
trader_joes,m3K_0O9Og3U,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL/MAY 2026! (4/28)✨️PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,"with the salmon &amp; cream cheese, we add capers!!! soo yummy!!",0
trader_joes,m3K_0O9Og3U,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL/MAY 2026! (4/28)✨️PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,Thank you for sharing Gina🌸 I want more Turkish products to Trader Joe’s coz they are insanely delicious😋,0
trader_joes,m3K_0O9Og3U,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL/MAY 2026! (4/28)✨️PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,"My Trader Joe’s was stocked today with all sorts of new goodies.<br><br>I was so saddened, however, to find out my favorite, piquant popcorn was discontinued 😢",0
trader_joes,m3K_0O9Og3U,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL/MAY 2026! (4/28)✨️PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,The Sweet Karoline blackberries are Outstanding!! 💙,2
trader_joes,m3K_0O9Og3U,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL/MAY 2026! (4/28)✨️PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,LEMON! 🍋🍋💛,7
trader_joes,m3K_0O9Og3U,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL/MAY 2026! (4/28)✨️PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,"Stopped at Trader Joe&#39;s yesterday.  Got to try try the OG cheese, loved it! Saw the gozlemes and thought they would be yummy with a drizzle of honey.",0
trader_joes,m3K_0O9Og3U,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL/MAY 2026! (4/28)✨️PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,"I stopped at Trader Joe&#39;s yesterday I saw the best selection of lamb  their meat department so I got me some lamb burger  some hamburger buns, these hamburger, buns were really delicious like little pillows, smaller than regular hamburger buns, but absolutely delicious, I enjoyed my cheeseburgers, cheese from Trader Joe&#39;s also I made cheeseburgers yesterday out of the Lamb it was so wonderful I love Trader Joe&#39;s 😍😋🤤",2
trader_joes,m3K_0O9Og3U,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL/MAY 2026! (4/28)✨️PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,"Gina, a cautery bunch, I love the way you think. thank you for an awesome video.  queso fresco!? its taco Tuesday I&#39;m already excited lol. the orange candied slices sound interesting i&#39;ll have to try them.",0
trader_joes,m3K_0O9Og3U,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL/MAY 2026! (4/28)✨️PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,"Your brunch looked delicious, Gina! Those vanilla scones are so good!<br>For the citrus juice, we prefer the tangerine. It’s tastes brighter, I think. <br>And for the blackberries, have you tried the Sweet Karoline’s at Trader Joe’s? So good!<br>Thanks for another great video!",0
trader_joes,m3K_0O9Og3U,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL/MAY 2026! (4/28)✨️PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,I love the tangerine juice! Have you tried it?  🧡,2
trader_joes,m3K_0O9Og3U,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL/MAY 2026! (4/28)✨️PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,"Hi Gina! Have you tried the French Cheese - Port Salut ??? Yummers! TJ offers the best price on this semi soft cheese. Lemon Mini Sheet Cake??? This is new, I hope it’s as good if not better than the mini carrot cake I just adore! Thanks for the tips! 👏🏻👏🏻🪻🌷",0
trader_joes,m3K_0O9Og3U,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL/MAY 2026! (4/28)✨️PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,I purchase the  Orange Juice that you showed in your video all the time.  It is my favorite!  I also purchase the Grapefruit Juice too.  I used to buy the unpasteurized Orange juices too but they don’t always have it in stock at my Trader Joe’s.,0
trader_joes,m3K_0O9Og3U,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL/MAY 2026! (4/28)✨️PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,Where did you get the corn esquite from?,1
trader_joes,m3K_0O9Og3U,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL/MAY 2026! (4/28)✨️PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,I can tell you are an amazing hostess &amp; like to entertain. I also see that you are an amazing Mom. How old is your daughter?,0
trader_joes,m3K_0O9Og3U,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL/MAY 2026! (4/28)✨️PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,Try adding capers and a. Sprig of dill to your salmon crostinis. So good!,0
trader_joes,m3K_0O9Og3U,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL/MAY 2026! (4/28)✨️PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,❤❤❤❤❤❤❤❤,1
trader_joes,m3K_0O9Og3U,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL/MAY 2026! (4/28)✨️PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,Wish Trader Joe’s in NJ sold wine,0
trader_joes,m3K_0O9Og3U,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL/MAY 2026! (4/28)✨️PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,I did NOT like the potato cheese sticks from Costco<br>I&#39;m not a mimosa fan and I love OJ with pulp <br>Have you tried the tangerine juice from Costco for a mimosa? I also like the Trader Joe&#39;s tangerine juice,0
trader_joes,m3K_0O9Og3U,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL/MAY 2026! (4/28)✨️PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,❤,1
trader_joes,m3K_0O9Og3U,TRADER JOE&#39;S NEW ARRIVALS &amp; GREAT FINDS for APRIL/MAY 2026! (4/28)✨️PRODUCT TESTING &amp; HONEST REVIEWS,Gina's Shopping Life,The Gozlemes weren’t great when I made them. All the cheese melted out all over my pan and then when I ate it there was no cheese inside.,1
